"Provinsi","PendudukUsiaKerja","TPAK"
"Aceh","4019977.00","  63.50 "
"Sumatera Utara","11031440.00","  69.53 "
"Sumatera Barat","4138949.00","  69.30 "
"Riau","5189243.00","  63.86 "
"Jambi","2777626.00","  67.84 "
"Sumatera Selatan","6489865.00","  69.31 "
"Bengkulu","1541550.00","  69.81 "
"Lampung","6560252.00","  70.06 "
"Kep Bangka Belitung","1139173.00","  67.38 "
"Kep Riau","1827295.00","  68.94 "
"DKI Jakarta","8327003.00","  63.08 "
"Jawa Barat","38667809.00","  66.15 "
"Jawa Tengah","27490859.00","  70.84 "
"DI Yogyakarta","3217874.00","  72.60 "
"Jawa Timur","32106491.00","  71.23 "
"Banten","9987063.00","  64.72 "
"Bali","3563142.00","  76.86 "
"Nusa Tenggara Barat","3946546.00","  70.93 "
"Nusa Tenggara Timur","4017390.00","  75.23 "
"Kalimantan Barat","3907553.00","  68.97 "
"Kalimantan Tengah","2088772.00","  67.23 "
"Kalimantan Selatan","3251336.00","  67.55 "
"Kalimantan Timur","2862393.00","  64.73 "
"Kalimantan Utara","547170.00","  67.62 "
"Sulawesi Utara","1968971.00","  63.08 "
"Sulawesi Tengah","2336619.00","  69.99 "
"Sulawesi Selatan","6889399.00","  66.18 "
"Sulawesi Tenggara","2008714.00","  68.82 "
"Gorontalo","914951.00","  68.91 "
"Sulawesi Barat","1026627.00","  73.00 "
"Maluku","1326840.00","  65.46 "
"Maluku Utara","938972.00","  64.88 "
"Papua Barat","751770.00","  68.55 "
"Papua","2560749.00","  77.75 "
"","",""
